title,publication_date,source,country,summary,url,language,category
"At least 4,000 people evacuated from their northern Sask. homes due to fast-approaching wildfires",2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/canada/saskatchewan/4k-people-evacuated-from-their-homes-due-to-aggressive-wildfires-in-northern-sask-1.7545566?cmp=rss,en,general
Crown questions detective who led 1st investigation that ended with no charges against ex-world junior players,2025-05-28 19:41:08,CBC News,Canada,"We're back at Superior Court in London, Ont., to cover the latest developments from the sexual assault trial of five former world junior hockey players.",https://www.cbc.ca/9.6775735?cmp=rss,en,general
"'No MAGA left behind': Trump turning pardons into partisan exercise, critics say",2025-05-28 19:41:08,CBC News,Canada,"After Donald Trump's sweeping pardon of hundreds convicted of 2021 Capitol riot offences, other priorities of his administration have dominated the discourse. But his administration continues to issue periodic pardons, and critics say they reek of hyperpartisanship.",https://www.cbc.ca/news/world/trump-pardons-jenkins-fiore-1.7544575?cmp=rss,en,general
Poll finds Albertans' attachment to Canada has grown as support for separatism has hardened,2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/canada/calgary/alberta-janet-brown-may-2025-poll-separation-sentiment-1.7544074?cmp=rss,en,general
Canadian swim star Summer McIntosh confirms she's training with Michael Phelps's former coach,2025-05-28 19:41:08,CBC News,Canada,"Canadian swimming phenom Summer McIntosh is making it official that following July's world swimming championships she'll be moving to Texas to be coached by Bob Bowman, who famously guided American Michael Phelps to a record 23 Olympic gold medals.",https://www.cbc.ca/sports/olympics/summer/aquatics/swimming/summer-mcintosh-bob-bowman-coach-confirm-may28-1.7544915?cmp=rss,en,general
"'Seeking a Physician': 96 and doctorless, N.S. senior turns to the classifieds",2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/canada/nova-scotia/dorothy-lamont-seeking-doctor-newspaper-ad-1.7544628?cmp=rss,en,general
"Hamilton landlord fined $100K for illegal renovictions that had 'devastating' impacts on tenants, court hears",2025-05-28 19:41:08,CBC News,Canada,"""That's a good place to start to show the landlords of Ontario they can't just throw their tenants out,"" Darlene Wesley, who lived in the building for nearly 20 years, told CBC Hamilton.",https://www.cbc.ca/news/canada/hamilton/landlord-charge-fine-1.7544931?cmp=rss,en,general
Montreal family meets Good Samaritans who delivered life-saving CPR,2025-05-28 19:41:08,CBC News,Canada,"It was thanks to the quick thinking of a couple of parents on their way to pick up their kids that Sabato Borrelli saw his 87th birthday after going into cardiac arrest. Now, Borrelli and some of his family members got to meet the pair of strangers turned 'superheroes.'",https://www.cbc.ca/news/canada/montreal/montreal-good-samaritans-cpr-1.7544959?cmp=rss,en,general
Royal visit a 'historic moment' for Canada and King Charles,2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/world/royal-visit-throne-speech-king-charles-queen-camilla-1.7544825?cmp=rss,en,general
Nova Scotia restaurants are still turning to crowdfunding. But is it always the best move?,2025-05-28 19:41:08,CBC News,Canada,"Crowdfunding can help a business get off the ground, or stay afloat, but it can also open up individuals to online attacks and public scrutiny.",https://www.cbc.ca/news/canada/nova-scotia/restaurants-are-still-turning-to-crowdfunding-1.7544763?cmp=rss,en,general
Canadian teen Mboko extends perfect run to reach 3rd round at French Open,2025-05-28 19:41:08,CBC News,Canada,"Toronto's Victoria Mboko extended her dream run at the French Open with a 6-4, 6-4 win over Germany's Eva Lys on Wednesday to reach the third round.",https://www.cbc.ca/sports/tennis/french-open-canadians-may-28-1.7545733?cmp=rss,en,general
Carney says Canada is looking to join major European military buildup by July 1,2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/politics/rearm-europe-deal-canada-carney-interview-1.7545303?cmp=rss,en,general
How a tipster tracked a U.S. fugitive 'psychic' to Toronto after a 21-year search,2025-05-28 19:41:08,CBC News,Canada,"An internet sleuth pointed authorities to the whereabouts of a longtime U.S. fugitive leading a double life in Ontario. CBC News has pieced together new details about the anonymous tip that led Toronto police earlier this year to apprehend Patrick Lutts Jr., more than two decades after he vanished.",https://www.cbc.ca/news/canada/toronto/us-fugitive-toronto-1.7544891?cmp=rss,en,general
Not all Ontario Hockey League teams make players take mandatory sexual violence prevention program,2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/canada/london/not-all-ohl-teams-are-making-players-take-mandatory-sexual-violence-prevention-program-1.7543483?cmp=rss,en,general
"Canada can join Golden Dome for free, Trump says — if it becomes 51st state",2025-05-28 19:41:08,CBC News,Canada,,https://www.cbc.ca/news/politics/golden-dome-61-billion-1.7545414?cmp=rss,en,general
